what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1321905651015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905653447
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321905657187
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321905659712
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321905664887
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321905671869
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321905673786
executed,command,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.popupmenu.addtobuild",1321905690089
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905690869
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905694625
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321905696667
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1321905716944
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321905719360
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905761130
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905768892
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1321905770030
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905770326
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905772742
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321905775111
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321905777667
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321905783746
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905814466
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905824799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905824908
